1482;R DR CECILIO MONZA;;-51.12794467539000000;-30.04794290572600000
1483;R DIOMARIO MOOJEM 30;;-51.23682367539000000;-30.09264490572600000
1484;R ENG ARY DE ABREU LIMA 5;;-51.15110967539000000;-30.02610290572600000
1485;AV BENNO MENTZ 1560;;-51.14673067539000000;-30.02404990572600000
1486;AV FERNANDO FERRARI 1001;;-51.16790567539000000;-29.97522590572600000
1487;AV SERTORIO 6767;;-51.14069267539000000;-29.99813490572600000
1488;AV ASSIS BRASIL 7625;;-51.12052567539000000;-29.98648390572600000
1489;R DR VICENTE DE PAULA DUTRA 111;;-51.22907267539000000;-30.04468690572600000
1490;AV JOAO WALLIG 1800;3338-4965;-51.16159367539000000;-30.02632190572600000
1491;R EUGENIO RODRIGUES 1558;3250-2189;-51.12797167539000000;-30.04791990572600000
1492;R ARMANDO BARBEDO 400;3266-9108;-51.25522467539000000;-30.11217190572600000
1493;TRAVESSA GERMANO GARCIA 10;3269-9101;-51.25359767539000000;-30.11010790572600000
1494;AV JOAO DE OLIVEIRA REMIAO 8640;3485-8590;-51.09526367539000000;-30.13483490572600000
1495;AV INDEPENDENCIA 813;;-51.21291667539000000;-30.02959390572600000
1496;R CASTRO DE MENEZES 700;3266-0166;-51.24916167539000000;-30.10161390572600000
1497;R CEL MARCOS 2599;;-51.23365667539000000;-30.13238590572600000
1498;R BARAO DE COTEGIPE 400;;-51.18878367539000000;-30.00936690572600000
1499;RUA PCA ALBERTO PASQUALINI 240;;-51.23130067539000000;-30.13347590572600000
1500;AV CEL PEDRO AUGUSTO BITTENCOURT 10;3248-2310;-51.21809867539000000;-30.14261990572600000
1501;R PROF ANNES DIAS 155;;-51.22343767539000000;-30.03121890572600000
1502;AV DA CAVALHADA 5088;;-51.22476367539000000;-30.12048190572600000
1503;AV EDUARDO PRADO 330;3250-6064;-51.22128067539000000;-30.12252890572600000
1504;R ENIO AVELINE DA ROCHA 8;;-51.21813067539000000;-30.13057590572600000
1505;R CEL MASSOT 400;;-51.24431067539000000;-30.10044390572600000
1506;TRAV ESCOBAR 336;;-51.23634667539000000;-30.10406690572600000
1507;R LUIS MANOEL GONZAGA 450;3029-1361;-51.17751067539000000;-30.03491990572600000
1508;R ITAPITOCAI 19;;-51.24155367539000000;-30.09015890572600000
1509;R SANTA MARIA 27;;-51.16762867539000000;-30.06209990572600000
1510;R PRESIDENTE FRANKLIN ROOSEVELT 168;;-51.20021367539000000;-30.00127790572600000
1511;R PADRE ANGELO CORSO 5;;-51.23397967539000000;-30.09759490572600000
1512;AV ICARAI 599;;-51.24028467539000000;-30.08401790572600000
1513;AV DA CAVALHADA 3621;3241-2626;-51.22720867539000000;-30.10869790572600000
1514;R AFONSO ARINOS 1016;3249-2193;-51.23138567539000000;-30.10219590572600000
1515;R JOAQUIM DE CARVALHO 30;;-51.21932667539000000;-30.11355090572600000
1516;R VINTE E QUATRO DE OUTUBRO 1728;;-51.19120767539000000;-30.02178290572600000
1517;R ERECHIM 782;;-51.21735567539000000;-30.08883190572600000
1518;R CEL BORDINI 643;;-51.19678667539000000;-30.02330890572600000
1519;AV MONTE CRISTO 33;3248-1286;-51.20633367539000000;-30.11779590572600000
1520;R GUILHERME SHELL 268;;-51.20744367539000000;-30.05525890572600000
1521;R TEN CEL FABRICIO PILLAR 800;;-51.18849067539000000;-30.02539390572600000
1522;AV DIARIO DE NOTICIAS S/N;3266-6514;-51.24644567539000000;-30.08217490572600000
1523;R ANNES DIAS 285;;-51.22220067539000000;-30.03007290572600000
1524;R SILVEIRO 1220;;-51.23104767539000000;-30.07094190572600000
1525;R TANAUI DA SILVA BOEIRA 10;3319-3030;-51.10434167539000000;-30.12402190572600000
1526;R MANOEL ELIAS 2006;;-51.12142767539000000;-30.03245690572600000
1527;R DA REPUBLICA 901;;-51.22744167539000000;-30.04155290572600000
1528;R ORFANOTROFIO 570;;-51.21921867539000000;-30.08078090572600000
1529;R PROF MANUEL LOBATO 151;;-51.21656967539000000;-30.07023390572600000
1530;AV DOS GAUCHOS 2049;;-51.12892267539000000;-29.99354590572600000
1531;R JOSE DE ALENCAR 286;3233-9531;-51.22953167539000000;-30.05964690572600000
1532;R JOSE DE ALENCAR 259;;-51.22927267539000000;-30.05984390572600000
1533;R COSTA 30;3231-9591;-51.22957267539000000;-30.05840990572600000
1534;R DR OSCAR BITTENCOURT 203;3233-2297;-51.22476067539000000;-30.06024390572600000
1535;AV PRAIA DE BELAS 1750;;-51.22861767539000000;-30.05414290572600000
1536;AV BORGES DE MEDEIROS 2700;3231-4433;-51.22940067539000000;-30.04933890572600000
1537;R MUCIO TEIXEIRA 515;3233-8416;-51.22484467539000000;-30.05336790572600000
1538;AV PRAIA DE BELAS 1181;;-51.22780867539000000;-30.04848090572600000
1539;AV JOSE DE ALENCAR 940;3233-1098;-51.22133167539000000;-30.06071890572600000
1540;R SALDANHA MARINHO 30;3233-5680;-51.22272167539000000;-30.05775090572600000
1541;R EURICO LARA 51;3233-0213;-51.21715967539000000;-30.06002990572600000
1542;AV GETULIO VARGAS 1118;3029-7310;-51.22235867539000000;-30.05475990572600000
1543;R VISCONDE DO HERVAL 690;;-51.22207567539000000;-30.05331290572600000
1544;R TULIO DE ROSE 10;;-51.16108167539000000;-30.02283290572600000
1545;R GEN CALDWELL 620;3233-2503;-51.22177167539000000;-30.05098290572600000
1546;R MARCILIO DIAS 763;3231-0808;-51.22199167539000000;-30.04974590572600000
1547;R SETE DE SETEMBRO 601;;-51.23456267539000000;-30.03075290572600000
1548;AV ERICO VERISSIMO 960;;-51.21837067539000000;-30.05383590572600000
1549;R CEL LUCAS DE OLIVEIRA 995;3388-2727;-51.19439467539000000;-30.03135590572600000
1550;R OTAVIO FRANCISCO CARUSO DA ROCHA 600;;-51.23593967539000000;-30.04009990572600000
1551;R GEN VASCO ALVES 530;;-51.23733767539000000;-30.03642590572600000
1552;R SANTA TERESINHA 450;;-51.21019467539000000;-30.04078690572600000
1553;R GEN VASCO ALVES 490;;-51.23766767539000000;-30.03564990572600000
1554;R GEN VASCO ALVES 339;;-51.23794267539000000;-30.03491390572600000
1555;R RIACHUELO 344;;-51.23819767539000000;-30.03386790572600000
1556;R OTAVIO FRANCISCO DA ROCHA 600;3227-7888;-51.23700967539000000;-30.04001490572600000
1557;R IBANOR TARTAROTI S/N;3227-3799;-51.23708667539000000;-30.03798090572600000
1558;R DUQUE DE CAXIAS 717;3224-2088;-51.23444467539000000;-30.03401090572600000
1559;R GEN PORTINHO 199;3228-7541;-51.23744467539000000;-30.03252190572600000
1560;R DOS ANDRADAS 811;;-51.23354267539000000;-30.03135090572600000
1561;AV SIQUEIRA CAMPOS 735;;-51.23410567539000000;-30.02976390572600000
1562;R MARCIO R VERAS VIDOR 10;3224-1379;-51.22987467539000000;-30.04452390572600000
